67 1657 9388
w0 w1 w2 w3 w4 w5 w6 w7 w8 w9 w10 w11 0,0 0,1 0,2 0,3 0,4 1,0 1,1 1,2 1,3 1,4 2,0 2,1 2,2 2,3 2,4 3,0 3,1 3,2 3,3 3,4 4,0 4,1 4,2 4,3 4,4 5,0 5,1 5,2 5,3 5,4 6,0 6,1 6,2 6,3 6,4 7,0 7,1 7,2 7,3 7,4 8,0 8,1 8,2 8,3 8,4 9,0 9,1 9,2 9,3 9,4 10,0 10,1 10,2 10,3 10,4
w0 0,0 1,0 2,0 3,0
w0 0,1 1,1 2,1 3,1
w0 0,2 1,2 2,2 3,2
w0 0,3 1,3 2,3 3,3
w0 0,4 1,4 2,4 3,4
w0 1,0 2,0 3,0 4,0
w0 1,1 2,1 3,1 4,1
w0 1,2 2,2 3,2 4,2
w0 1,3 2,3 3,3 4,3
w0 1,4 2,4 3,4 4,4
w0 2,0 3,0 4,0 5,0
w0 2,1 3,1 4,1 5,1
w0 2,2 3,2 4,2 5,2
w0 2,3 3,3 4,3 5,3
w0 2,4 3,4 4,4 5,4
w0 3,0 4,0 5,0 6,0
w0 3,1 4,1 5,1 6,1
w0 3,2 4,2 5,2 6,2
w0 3,3 4,3 5,3 6,3
w0 3,4 4,4 5,4 6,4
w0 4,0 5,0 6,0 7,0
w0 4,1 5,1 6,1 7,1
w0 4,2 5,2 6,2 7,2
w0 4,3 5,3 6,3 7,3
w0 4,4 5,4 6,4 7,4
w0 5,0 6,0 7,0 8,0
w0 5,1 6,1 7,1 8,1
w0 5,2 6,2 7,2 8,2
w0 5,3 6,3 7,3 8,3
w0 5,4 6,4 7,4 8,4
w0 6,0 7,0 8,0 9,0
w0 6,1 7,1 8,1 9,1
w0 6,2 7,2 8,2 9,2
w0 6,3 7,3 8,3 9,3
w0 6,4 7,4 8,4 9,4
w0 7,0 8,0 9,0 10,0
w0 7,1 8,1 9,1 10,1
w0 7,2 8,2 9,2 10,2
w0 7,3 8,3 9,3 10,3
w0 7,4 8,4 9,4 10,4
w0 0,0 0,1 0,2 0,3
w0 0,1 0,2 0,3 0,4
w0 1,0 1,1 1,2 1,3
w0 1,1 1,2 1,3 1,4
w0 2,0 2,1 2,2 2,3
w0 2,1 2,2 2,3 2,4
w0 3,0 3,1 3,2 3,3
w0 3,1 3,2 3,3 3,4
w0 4,0 4,1 4,2 4,3
w0 4,1 4,2 4,3 4,4
w0 5,0 5,1 5,2 5,3
w0 5,1 5,2 5,3 5,4
w0 6,0 6,1 6,2 6,3
w0 6,1 6,2 6,3 6,4
w0 7,0 7,1 7,2 7,3
w0 7,1 7,2 7,3 7,4
w0 8,0 8,1 8,2 8,3
w0 8,1 8,2 8,3 8,4
w0 9,0 9,1 9,2 9,3
w0 9,1 9,2 9,3 9,4
w0 10,0 10,1 10,2 10,3
w0 10,1 10,2 10,3 10,4
w1 0,0 1,0 2,0 3,0 0,1
w1 0,1 1,1 2,1 3,1 0,2
w1 0,2 1,2 2,2 3,2 0,3
w1 0,3 1,3 2,3 3,3 0,4
w1 1,0 2,0 3,0 4,0 1,1
w1 1,1 2,1 3,1 4,1 1,2
w1 1,2 2,2 3,2 4,2 1,3
w1 1,3 2,3 3,3 4,3 1,4
w1 2,0 3,0 4,0 5,0 2,1
w1 2,1 3,1 4,1 5,1 2,2
w1 2,2 3,2 4,2 5,2 2,3
w1 2,3 3,3 4,3 5,3 2,4
w1 3,0 4,0 5,0 6,0 3,1
w1 3,1 4,1 5,1 6,1 3,2
w1 3,2 4,2 5,2 6,2 3,3
w1 3,3 4,3 5,3 6,3 3,4
w1 4,0 5,0 6,0 7,0 4,1
w1 4,1 5,1 6,1 7,1 4,2
w1 4,2 5,2 6,2 7,2 4,3
w1 4,3 5,3 6,3 7,3 4,4
w1 5,0 6,0 7,0 8,0 5,1
w1 5,1 6,1 7,1 8,1 5,2
w1 5,2 6,2 7,2 8,2 5,3
w1 5,3 6,3 7,3 8,3 5,4
w1 6,0 7,0 8,0 9,0 6,1
w1 6,1 7,1 8,1 9,1 6,2
w1 6,2 7,2 8,2 9,2 6,3
w1 6,3 7,3 8,3 9,3 6,4
w1 7,0 8,0 9,0 10,0 7,1
w1 7,1 8,1 9,1 10,1 7,2
w1 7,2 8,2 9,2 10,2 7,3
w1 7,3 8,3 9,3 10,3 7,4
w1 0,1 1,1 2,1 3,1 0,0
w1 0,2 1,2 2,2 3,2 0,1
w1 0,3 1,3 2,3 3,3 0,2
w1 0,4 1,4 2,4 3,4 0,3
w1 1,1 2,1 3,1 4,1 1,0
w1 1,2 2,2 3,2 4,2 1,1
w1 1,3 2,3 3,3 4,3 1,2
w1 1,4 2,4 3,4 4,4 1,3
w1 2,1 3,1 4,1 5,1 2,0
w1 2,2 3,2 4,2 5,2 2,1
w1 2,3 3,3 4,3 5,3 2,2
w1 2,4 3,4 4,4 5,4 2,3
w1 3,1 4,1 5,1 6,1 3,0
w1 3,2 4,2 5,2 6,2 3,1
w1 3,3 4,3 5,3 6,3 3,2
w1 3,4 4,4 5,4 6,4 3,3
w1 4,1 5,1 6,1 7,1 4,0
w1 4,2 5,2 6,2 7,2 4,1
w1 4,3 5,3 6,3 7,3 4,2
w1 4,4 5,4 6,4 7,4 4,3
w1 5,1 6,1 7,1 8,1 5,0
w1 5,2 6,2 7,2 8,2 5,1
w1 5,3 6,3 7,3 8,3 5,2
w1 5,4 6,4 7,4 8,4 5,3
w1 6,1 7,1 8,1 9,1 6,0
w1 6,2 7,2 8,2 9,2 6,1
w1 6,3 7,3 8,3 9,3 6,2
w1 6,4 7,4 8,4 9,4 6,3
w1 7,1 8,1 9,1 10,1 7,0
w1 7,2 8,2 9,2 10,2 7,1
