67 1657 9388
A B C D E F G H I J K L 0,0 0,1 0,2 0,3 0,4 1,0 1,1 1,2 1,3 1,4 2,0 2,1 2,2 2,3 2,4 3,0 3,1 3,2 3,3 3,4 4,0 4,1 4,2 4,3 4,4 5,0 5,1 5,2 5,3 5,4 6,0 6,1 6,2 6,3 6,4 7,0 7,1 7,2 7,3 7,4 8,0 8,1 8,2 8,3 8,4 9,0 9,1 9,2 9,3 9,4 10,0 10,1 10,2 10,3 10,4
A 0,0 1,0 2,0 3,0
A 0,1 1,1 2,1 3,1
A 0,2 1,2 2,2 3,2
A 0,3 1,3 2,3 3,3
A 0,4 1,4 2,4 3,4
A 1,0 2,0 3,0 4,0
A 1,1 2,1 3,1 4,1
A 1,2 2,2 3,2 4,2
A 1,3 2,3 3,3 4,3
A 1,4 2,4 3,4 4,4
A 2,0 3,0 4,0 5,0
A 2,1 3,1 4,1 5,1
A 2,2 3,2 4,2 5,2
A 2,3 3,3 4,3 5,3
A 2,4 3,4 4,4 5,4
A 3,0 4,0 5,0 6,0
A 3,1 4,1 5,1 6,1
A 3,2 4,2 5,2 6,2
A 3,3 4,3 5,3 6,3
A 3,4 4,4 5,4 6,4
A 4,0 5,0 6,0 7,0
A 4,1 5,1 6,1 7,1
A 4,2 5,2 6,2 7,2
A 4,3 5,3 6,3 7,3
A 4,4 5,4 6,4 7,4
A 5,0 6,0 7,0 8,0
A 5,1 6,1 7,1 8,1
A 5,2 6,2 7,2 8,2
A 5,3 6,3 7,3 8,3
A 5,4 6,4 7,4 8,4
A 6,0 7,0 8,0 9,0
A 6,1 7,1 8,1 9,1
A 6,2 7,2 8,2 9,2
A 6,3 7,3 8,3 9,3
A 6,4 7,4 8,4 9,4
A 7,0 8,0 9,0 10,0
A 7,1 8,1 9,1 10,1
A 7,2 8,2 9,2 10,2
A 7,3 8,3 9,3 10,3
A 7,4 8,4 9,4 10,4
A 0,0 0,1 0,2 0,3
A 0,1 0,2 0,3 0,4
A 1,0 1,1 1,2 1,3
A 1,1 1,2 1,3 1,4
A 2,0 2,1 2,2 2,3
A 2,1 2,2 2,3 2,4
A 3,0 3,1 3,2 3,3
A 3,1 3,2 3,3 3,4
A 4,0 4,1 4,2 4,3
A 4,1 4,2 4,3 4,4
A 5,0 5,1 5,2 5,3
A 5,1 5,2 5,3 5,4
A 6,0 6,1 6,2 6,3
A 6,1 6,2 6,3 6,4
A 7,0 7,1 7,2 7,3
A 7,1 7,2 7,3 7,4
A 8,0 8,1 8,2 8,3
A 8,1 8,2 8,3 8,4
A 9,0 9,1 9,2 9,3
A 9,1 9,2 9,3 9,4
A 10,0 10,1 10,2 10,3
A 10,1 10,2 10,3 10,4
B 0,0 1,0 2,0 3,0 0,1
B 0,1 1,1 2,1 3,1 0,2
B 0,2 1,2 2,2 3,2 0,3
B 0,3 1,3 2,3 3,3 0,4
B 1,0 2,0 3,0 4,0 1,1
B 1,1 2,1 3,1 4,1 1,2
B 1,2 2,2 3,2 4,2 1,3
B 1,3 2,3 3,3 4,3 1,4
B 2,0 3,0 4,0 5,0 2,1
B 2,1 3,1 4,1 5,1 2,2
B 2,2 3,2 4,2 5,2 2,3
B 2,3 3,3 4,3 5,3 2,4
B 3,0 4,0 5,0 6,0 3,1
B 3,1 4,1 5,1 6,1 3,2
B 3,2 4,2 5,2 6,2 3,3
B 3,3 4,3 5,3 6,3 3,4
B 4,0 5,0 6,0 7,0 4,1
B 4,1 5,1 6,1 7,1 4,2
B 4,2 5,2 6,2 7,2 4,3
B 4,3 5,3 6,3 7,3 4,4
B 5,0 6,0 7,0 8,0 5,1
B 5,1 6,1 7,1 8,1 5,2
B 5,2 6,2 7,2 8,2 5,3
B 5,3 6,3 7,3 8,3 5,4
B 6,0 7,0 8,0 9,0 6,1
B 6,1 7,1 8,1 9,1 6,2
B 6,2 7,2 8,2 9,2 6,3
B 6,3 7,3 8,3 9,3 6,4
B 7,0 8,0 9,0 10,0 7,1
B 7,1 8,1 9,1 10,1 7,2
B 7,2 8,2 9,2 10,2 7,3
B 7,3 8,3 9,3 10,3 7,4
B 0,1 1,1 2,1 3,1 0,0
B 0,2 1,2 2,2 3,2 0,1
B 0,3 1,3 2,3 3,3 0,2
B 0,4 1,4 2,4 3,4 0,3
B 1,1 2,1 3,1 4,1 1,0
B 1,2 2,2 3,2 4,2 1,1
B 1,3 2,3 3,3 4,3 1,2
B 1,4 2,4 3,4 4,4 1,3
B 2,1 3,1 4,1 5,1 2,0
B 2,2 3,2 4,2 5,2 2,1
B 2,3 3,3 4,3 5,3 2,2
B 2,4 3,4 4,4 5,4 2,3
B 3,1 4,1 5,1 6,1 3,0
B 3,2 4,2 5,2 6,2 3,1
B 3,3 4,3 5,3 6,3 3,2
B 3,4 4,4 5,4 6,4 3,3
B 4,1 5,1 6,1 7,1 4,0
B 4,2 5,2 6,2 7,2 4,1
B 4,3 5,3 6,3 7,3 4,2
B 4,4 5,4 6,4 7,4 4,3
B 5,1 6,1 7,1 8,1 5,0
B 5,2 6,2 7,2 8,2 5,1
B 5,3 6,3 7,3 8,3 5,2
B 5,4 6,4 7,4 8,4 5,3
B 6,1 7,1 8,1 9,1 6,0
B 6,2 7,2 8,2 9,2 6,1
B 6,3 7,3 8,3 9,3 6,2
B 6,4 7,4 8,4 9,4 6,3
B 7,1 8,1 9,1 10,1 7,0
